Name        		    Student ID		Email			Role
Alice Smith       	    B49281736	b49281736@umak.edu.ph	Disabled
Nathaniel Camacho   	A12344321	a12344321@umak.edu.ph	Member
Andre Victor Arcilla	A12346169	a12346169@umak.edu.ph	Member
Bob Johnson	            M83726194	a05232018@umak.edu.ph	Admin
Andrea Cruz         	Q29384756	coach@umak.edu.ph   	Coach
Guy Gardener	        G10293847	g10293847@umak.edu.ph	Coach
George Miller	        L74635281	174635281@umak.edu.ph	Member
Ian Taylor		        P58694031	p58694031@umak.edu.ph	Disabled
Julia Martinez	        R18273645	r18273645@umak.edu.ph	Member
Darlyn Garcia	        A05232018	admin@umak.edu.ph	    Admin
Johan Smith     	    J38475610	j38475610@umak.edu.ph	Member
Evan Davis  	        F94837261	f94837261@umak.edu.ph	Admin
Marcus Jackson	        H61928374	h61928374@umak.edu.ph	Coach
